iter	Passed	Remaining
399	57515	230060
400	57663	229936
401	57804	229779
402	57946	229628
403	58103	229536
404	58228	229319
405	58373	229182
406	58489	228926
407	58602	228663
408	58723	228431
409	58857	228250
410	58997	228095
411	59161	228030
412	59287	227819
413	59436	227696
414	59544	227415
415	59683	227257
416	59850	227201
417	60011	227123
418	60142	226932
419	60299	226842
420	60435	226667
421	60566	226478
422	60717	226363
423	60869	226251
424	61017	226125
425	61170	226016
426	61309	225852
427	61440	225664
428	61601	225584
429	61733	225397
430	61864	225211
431	62048	225211
432	62220	225172
433	62388	225115
434	62542	225010
435	62734	225038
436	62892	224946
437	63048	224843
438	63217	224788
439	63353	224616
440	63503	224493
441	63673	224442
442	63828	224335
443	63984	224234
444	64118	224055
445	64300	224044
446	64456	223940
447	64625	223881
448	64787	223797
449	64931	223653
450	65065	223473
451	65238	223427
452	65396	223328
453	65556	223238
454	65698	223087
455	65852	222974
456	65996	222828
457	66159	222747
458	66301	222595
459	66435	222414
460	66597	222329
461	66742	222184
462	66895	222069
463	67032	221900
464	67203	221843
465	67338	221666
466	67495	221562
467	67669	221517
468	67800	221328
469	67985	221313
470	68130	221170
471	68281	221046
472	68442	220954
473	68599	220849
474	68772	220794
475	68948	220749
476	69068	220526
477	69197	220332
478	69345	220197
479	69526	220167
480	69732	220216
481	69905	220158
482	70068	220068
483	70247	220032
484	70405	219927
485	70565	219826
486	70729	219741
487	70896	219662
488	71035	219499
489	71191	219384
490	71329	219217
491	71474	219073
492	71622	218934
493	71806	218907
494	71937	218719
495	72124	218700
496	72264	218539
497	72421	218428
498	72551	218235
499	72740	218220
500	72881	218064
501	73038	217952
502	73171	217768
503	73330	217662
504	73461	217474
505	73614	217350
506	73749	217176
507	73898	217040
508	74036	216872
509	74163	216672
510	74298	216499
511	74457	216392
512	74607	216259
513	74767	216155
514	74910	216002
515	75043	215821
516	75186	215670
517	75322	215498
518	75453	215312
519	75622	215233
520	75789	215150
521	75918	214956
522	76065	214814
523	76212	214673
524	76361	214540
525	76490	214348
526	76645	214228
527	76801	214114
528	76944	213962
529	77078	213783
530	77228	213650
531	77354	213451
532	77486	213268
533	77641	213151
534	77805	213056
535	77924	212838
536	78062	212674
537	78225	212575
